,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
IPR019771,1,1,1,"F-actin capping protein, beta subunit, conserved site"
IPR037282,1,1,2,F-actin-capping protein subunit alpha/beta
IPR042276,1,1,2,"F-actin-capping protein subunit alpha/beta, domain 2"
IPR043175,1,1,1,"F-actin-capping protein subunit beta, N-terminal domain"
IPR011050,7,8,24,Pectin lyase fold/virulence factor
IPR012334,6,8,24,Pectin lyase fold
IPR024535,3,3,3,Pectate lyase superfamily protein
IPR003609,6,5,12,PAN/Apple domain
IPR017261,4,3,2,DNA mismatch repair protein MutS/MSH
IPR000257,1,1,1,Uroporphyrinogen decarboxylase (URO-D)
IPR006361,1,1,1,Uroporphyrinogen decarboxylase HemE
IPR038071,6,10,6,UROD/MetE-like superfamily
IPR005982,1,1,1,Thioredoxin reductase
IPR008255,1,1,1,"Pyridine nucleotide-disulphide oxidoreductase, class-II, active site"
IPR028884,1,1,1,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit
IPR001790,3,4,3,Ribosomal protein L10P
IPR030670,1,1,1,60S acidic ribosomal protein P0
IPR040637,2,2,2,"60S ribosomal protein L10P, insertion domain"
IPR043141,2,4,3,Ribosomal protein L10-like domain superfamily
IPR043164,2,2,2,"50S ribosomal protein L10, insertion domain superfamily"
IPR003141,1,0,0,"Polymerase/histidinol phosphatase, N-terminal"
IPR016195,3,2,2,Polymerase/histidinol phosphatase-like
IPR013653,1,1,0,FR47-like
IPR012724,2,2,2,Chaperone DnaJ
IPR018791,2,2,2,UV radiation resistance protein/autophagy-related protein 14
IPR007991,1,1,1,RNA polymerase I specific transcription initiation factor RRN3
IPR000462,6,5,5,CDP-alcohol phosphatidyltransferase
IPR014472,2,2,2,Choline/ethanolamine phosphotransferase
IPR043130,6,5,5,"CDP-alcohol phosphatidyltransferase, transmembrane domain"
IPR018181,4,7,6,"Heat shock protein 70, conserved site"
IPR029047,7,6,5,"Heat shock protein 70kD, peptide-binding domain superfamily"
IPR029048,6,5,7,"Heat shock protein 70kD, C-terminal domain superfamily"
IPR037382,2,2,2,Remodelling complex subunit Rsc/polybromo
IPR002744,1,1,1,MIP18 family-like
IPR039796,1,1,1,MIP18 family
IPR000640,6,6,5,"Elongation factor EFG, domain V-like"
IPR000795,15,16,15,Translational (tr)-type GTP-binding domain
IPR004161,10,11,8,"Translation elongation factor EFTu-like, domain 2"
IPR005517,3,3,3,"Translation elongation factor EFG/EF2, domain IV"
IPR031950,1,1,1,"116kDa U5 small nuclear ribonucleoprotein component, N-terminal"
IPR035647,6,7,6,EF-G domain III/V-like
IPR035655,1,1,1,"116kDa U5 small nuclear ribonucleoprotein component, C-terminal"
IPR041095,5,5,4,"Elongation Factor G, domain II"
IPR019240,1,0,1,Protein of unknown function DUF2196
IPR017969,4,4,3,"Heavy-metal-associated, conserved site"
IPR027256,5,7,2,"P-type ATPase, subfamily IB"
IPR006329,1,1,1,AMP deaminase
IPR006650,2,2,2,Adenosine/AMP deaminase active site
IPR003342,3,2,3,Glycosyl transferase family 39/83
IPR016093,3,2,3,MIR motif
IPR027005,2,2,3,Glycosyltransferase 39-like
IPR032421,3,2,3,"Protein O-mannosyl-transferase, C-terminal four TM domain"
IPR036300,3,2,3,Mir domain superfamily
IPR003952,1,2,2,"Fumarate reductase/succinate dehydrogenase, FAD-binding site"
IPR011281,1,2,2,"Succinate dehydrogenase, flavoprotein subunit"
IPR014006,1,2,2,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"
IPR015939,1,2,2,"Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal"
IPR030664,1,2,2,FAD-dependent oxidoreductase SdhA/FrdA/AprA
IPR037099,1,2,2,"Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily"
IPR013226,2,2,2,Pal1 cell morphology
IPR027521,1,1,1,U6 snRNA phosphodiesterase 1
IPR002194,7,6,7,"Chaperonin TCP-1, conserved site"
IPR002423,11,10,10,Chaperonin Cpn60/GroEL/TCP-1 family
IPR012717,1,1,1,"T-complex protein 1, delta subunit"
IPR017998,9,7,8,Chaperone tailless complex polypeptide 1 (TCP-1)
IPR027409,11,10,10,GroEL-like apical domain superfamily
IPR027410,10,9,9,TCP-1-like chaperonin intermediate domain superfamily
IPR027413,10,9,9,GroEL-like equatorial domain superfamily
IPR035245,1,1,1,26S Proteasome regulatory subunit 7
IPR013657,2,2,3,UAA transporter
IPR000009,1,0,1,Protein phosphatase 2A regulatory subunit PR55
IPR018067,1,0,1,"Protein phosphatase 2A regulatory subunit PR55, conserved site"
IPR000597,1,2,2,Ribosomal protein L3
IPR019926,1,2,1,"Ribosomal protein L3, conserved site"
IPR044892,1,1,1,"Ribosomal protein L3, domain 3, archaeal type superfamily"
IPR045077,1,1,1,"Ribosomal protein L3, archaeal/eukaryotic type"
IPR015404,3,3,2,"Sorting nexin Vps5-like, C-terminal"
IPR000850,3,2,3,Adenylate kinase/UMP-CMP kinase
IPR007862,2,2,2,"Adenylate kinase, active site lid domain"
IPR028586,1,0,1,"Adenylate kinase 3/4, mitochondrial"
IPR033690,2,2,2,"Adenylate kinase, conserved site"
IPR011685,2,1,2,
IPR033122,2,1,2,"LETM1-like, ribosome-binding domain"
IPR044202,2,2,2,LETM1/MDM38-like
IPR007011,1,1,2,"Late embryogenesis abundant protein, SMP subgroup domain"
IPR018628,1,0,0,"Cytochrome c oxidase assembly factor 3, mitochondrial, coiled-coil domain"
IPR041752,1,1,0,"Cytochrome c oxidase assembly factor 3, mitochondrial"
IPR021850,1,1,1,Symplekin/Pta1
IPR032460,1,1,1,"Symplekin/Pta1, N-terminal"
IPR018466,3,4,4,"Yeast cell wall synthesis Kre9/Knh1-like, N-terminal"
IPR008386,1,0,1,"ATP synthase, F0 complex, subunit E, mitochondrial"
IPR005025,1,5,3,NADPH-dependent FMN reductase-like
IPR010089,1,1,1,Flavoprotein WrbA-like
IPR005579,1,1,1,Cgr1-like
IPR019531,1,0,1,Peroxisomal membrane protein 4
IPR024554,2,1,2,"Domain of unknown function DUF3818, PX-associated"
IPR024555,2,1,2,PX-associated domain
IPR007042,1,0,1,"SERRATE/Ars2 , C-terminal"
IPR021933,1,1,1,"SERRATE/Ars2, N-terminal"
IPR004307,1,1,1,TspO/MBR-related protein
IPR038330,1,1,1,TspO/MBR-related superfamily
IPR001619,4,3,5,Sec1-like protein
IPR027121,1,1,1,Vacuolar protein sorting-associated protein 33
IPR027482,4,3,5,"Sec1-like, domain 2"
IPR036045,4,3,5,Sec1-like superfamily
IPR043127,4,3,3,"Sec1-like, domain 3a"
IPR043154,4,3,4,"Sec1-like, domain 1"
IPR043155,1,1,1,"Vacuolar protein sorting-associated protein 33, domain 3b"
IPR004516,1,1,1,Histidine-tRNA ligase/ATP phosphoribosyltransferase regulatory subunit
IPR036621,7,5,6,Anticodon-binding domain superfamily
IPR041715,2,1,2,Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain
IPR010971,1,0,1,Ubiquinone biosynthesis hydroxylase UbiH/COQ6
IPR018168,1,1,1,"Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6, conserved site"
IPR029184,1,0,1,Something about silencing protein 4 domain
IPR038988,1,0,1,Something about silencing protein 4
IPR037813,1,1,1,Transcription initiation factor TFIID subunit 2
IPR042097,4,4,4,"Aminopeptidase N-like , N-terminal domain superfamliy"
IPR003830,1,1,1,"(2R)-phospho-3-sulpholactate synthase, ComA"
IPR036112,1,1,1,"(2R)-phospho-3-sulpholactate synthase, ComA superfamily"
IPR015016,1,1,1,Splicing factor 3B subunit 1
IPR038737,1,1,1,Splicing factor 3B subunit 1-like
IPR000589,2,3,2,Ribosomal protein S15
IPR009068,2,3,2,"S15/NS1, RNA-binding"
IPR012606,1,1,1,"Ribosomal protein S13/S15, N-terminal"
IPR023029,1,1,1,Ribosomal protein S15P
IPR018805,1,1,2,"Cell wall protein YJL171C/Tos1, C-terminal"
IPR018807,1,0,2,"Cell wall protein YJL171C/Tos1, N-terminal"
IPR007223,1,0,1,"Peroxin 13, N-terminal"
IPR035463,2,0,1,Peroxin 13
IPR001631,1,1,1,DNA topoisomerase I
IPR008336,1,0,1,"DNA topoisomerase I, DNA binding, eukaryotic-type"
IPR013030,1,0,1,"DNA topoisomerase I, DNA binding, N-terminal domain 2"
IPR013034,1,0,1,"DNA topoisomerase I, DNA binding, N-terminal domain 1"
IPR013499,1,0,1,"DNA topoisomerase I, eukaryotic-type"
IPR013500,1,1,1,"DNA topoisomerase I, catalytic core, eukaryotic-type"
IPR014711,1,1,1,"DNA topoisomerase I, catalytic core, alpha-helical subdomain, eukaryotic-type"
IPR014727,1,0,1,"DNA topoisomerase I, catalytic core, alpha/beta subdomain"
IPR018521,1,0,1,"DNA topoisomerase I, active site"
IPR025834,1,0,1,Topoisomerase I C-terminal domain
IPR036202,1,0,1,"DNA topoisomerase I, DNA binding, eukaryotic-type, N-terminal domain superfamily"
IPR000131,1,2,1,"ATP synthase, F1 complex, gamma subunit"
IPR023632,1,2,1,"ATP synthase, F1 complex, gamma subunit conserved site"
IPR035968,1,2,1,"ATP synthase, F1 complex, gamma subunit superfamily"
IPR001514,1,1,1,"DNA-directed RNA polymerase, 30-40kDa subunit, conserved site"
IPR033901,1,0,1,DNA-directed RNA polymerases I and III subunit AC40
IPR001135,1,1,1,"NADH-quinone oxidoreductase, subunit D"
IPR014029,1,1,1,"NADH:ubiquinone oxidoreductase, 49kDa subunit, conserved site"
IPR022885,1,1,1,NAD(P)H-quinone oxidoreductase subunit D/H
IPR029014,1,1,1,"[NiFe]-hydrogenase, large subunit"
IPR025941,2,1,1,"Vacuolar protein sorting-associated protein 8, central domain"
IPR045111,3,2,2,Vacuolar protein sorting-associated protein Vps41/Vps8
IPR022226,1,1,1,Domain of unknown function DUF3752
IPR046331,1,1,1,GPALPP motifs-containing protein 1-like
IPR011856,5,2,3,tRNA endonuclease-like domain superfamily
IPR014883,1,1,1,VRR-NUC domain
IPR033315,1,1,1,Fanconi-associated nuclease 1-like
IPR018517,3,3,4,"tRNA-dihydrouridine synthase, conserved site"
IPR035587,3,3,4,"DUS-like, FMN-binding domain"
IPR044285,1,1,1,Periodic tryptophan protein 1
IPR011709,6,9,7,"DEAD-box helicase, OB fold"
IPR000313,1,1,1,PWWP domain
IPR001303,3,7,5,Class II aldolase/adducin N-terminal
IPR017714,1,1,1,Methylthioribulose-1-phosphate dehydratase
IPR036409,3,7,5,Class II aldolase/adducin N-terminal domain superfamily
IPR022024,4,4,3,Protein of unknown function DUF3602
IPR044677,2,3,3,Mitochondrial phosphate carrier protein Pic2/Mir1-like
IPR002303,1,1,1,Valine-tRNA ligase
IPR033705,1,1,1,"Valyl tRNA synthetase, anticodon-binding domain"
IPR045216,1,1,1,"Casein Kinase 2, subunit alpha"
IPR002738,1,1,1,RNase P subunit p30
IPR036837,4,4,6,"Cation efflux protein, cytoplasmic domain superfamily"
IPR017937,6,6,5,"Thioredoxin, conserved site"
IPR044569,1,0,1,Protein disulfide-isomerase A6-like
IPR023175,1,1,1,"Vta1/Callose synthase, N-terminal domain superfamily"
IPR039431,1,1,1,"Vta1/callose synthase, N-terminal"
IPR041212,1,1,1,"Vta1, C-terminal"
IPR044538,1,1,1,Vacuolar protein sorting-associated protein Vta1-like
IPR006876,2,1,2,LMBR1-like membrane protein
IPR004871,3,2,3,"Cleavage/polyadenylation specificity factor, A subunit, C-terminal"
IPR018846,4,3,4,"Cleavage/polyadenylation specificity factor, A subunit, N-terminal"
IPR002220,5,5,5,DapA-like
IPR000592,1,1,1,Ribosomal protein S27
IPR023407,1,1,1,"Ribosomal protein S27, zinc-binding domain superfamily"
IPR000253,12,11,16,Forkhead-associated (FHA) domain
IPR008984,12,11,14,SMAD/FHA domain superfamily
IPR019821,8,10,9,"Kinesin motor domain, conserved site"
IPR022164,1,1,1,Kinesin-like
IPR032405,1,1,1,Kinesin-associated
IPR030382,1,2,2,SAM-dependent methyltransferase TRM5/TYW2-type
IPR001950,2,2,3,SUI1 domain
IPR005873,1,0,1,"DENR family, eukaryotes"
IPR036877,2,2,3,SUI1 domain superfamily
IPR007243,1,1,1,Atg6/Beclin
IPR038274,1,1,1,Atg6/Beclin C-terminal domain superfamily
IPR040455,1,1,1,"Atg6, BARA domain"
IPR041691,1,1,1,"Atg6/beclin, coiled-coil domain"
IPR018465,2,1,1,Centromere protein Scm3/HJURP
IPR005479,7,7,8,"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"
IPR005480,2,2,2,"Carbamoyl-phosphate synthetase, large subunit oligomerisation domain"
IPR005483,2,2,2,"Carbamoyl-phosphate synthase large subunit, CPSase domain"
IPR006275,2,2,2,"Carbamoyl-phosphate synthase, large subunit"
IPR011607,3,3,3,Methylglyoxal synthase-like domain
IPR016071,2,2,2,"Staphylococcal nuclease (SNase-like), OB-fold"
IPR035437,2,2,2,"SNase-like, OB-fold superfamily"
IPR036897,2,2,2,"Carbamoyl-phosphate synthetase, large subunit oligomerisation domain superfamily"
IPR036914,3,3,3,Methylglyoxal synthase-like domain superfamily
IPR000602,1,1,1,"Glycoside hydrolase family 38, N-terminal domain"
IPR011330,8,7,11,"Glycoside hydrolase/deacetylase, beta/alpha-barrel"
IPR011682,1,1,1,"Glycosyl hydrolase family 38, C-terminal"
IPR015341,1,1,1,"Glycoside hydrolase family 38, central domain"
IPR027291,1,1,1,"Glycoside hydrolase 38, N-terminal domain superfamily"
IPR028995,1,1,1,"Glycoside hydrolase families 57/38, central domain superfamily"
IPR037094,1,1,1,"Glycoside hydrolase family 38, central domain superfamily"
IPR010061,1,2,1,Methylmalonate-semialdehyde dehydrogenase
IPR001580,1,1,1,Calreticulin/calnexin
IPR009033,1,1,1,"Calreticulin/calnexin, P domain superfamily"
IPR018124,1,1,1,"Calreticulin/calnexin, conserved site"
IPR018809,1,1,1,Protein of unknown function DUF2406
IPR019013,1,1,1,Vacuolar ATPase assembly integral membrane protein Vma21
IPR001222,2,2,2,"Zinc finger, TFIIS-type"
IPR003617,1,1,1,"Transcription elongation factor, TFIIS/CRSP70, N-terminal, sub-type"
IPR003618,2,2,2,"Transcription elongation factor S-II, central domain"
IPR006289,1,1,1,"Transcription elongation factor, TFIIS"
IPR017923,2,2,3,"Transcription factor IIS, N-terminal"
IPR035100,1,1,1,"Transcription elongation factor, IIS-type"
IPR035441,3,2,3,TFIIS/LEDGF domain superfamily
IPR036575,2,2,2,"Transcription elongation factor S-II, central domain superfamily"
IPR015418,1,1,1,Chromatin modification-related protein Eaf6
IPR013880,1,1,0,Yos1-like
IPR007526,4,2,4,SWIRM domain
IPR028133,1,1,1,Dynamitin
IPR007276,1,1,1,Nucleolar protein 14
IPR025676,3,22,2,Clr5 domain
IPR016040,16,18,10,NAD(P)-binding domain
IPR002625,2,3,3,Smr domain
IPR013899,1,2,3,Domain of unknown function DUF1771
IPR036063,2,3,3,Smr domain superfamily
IPR045124,1,1,1,Protein suppressor of sable-like
IPR013952,1,1,1,"Protein of unknown function DUF1776, fungi"
IPR013536,3,2,3,WLM domain
IPR045348,1,1,1,CPSF complex subunit CPSF4-like
IPR001223,6,5,6,"Glycoside hydrolase family 18, catalytic domain"
IPR001579,4,3,4,Glycosyl hydrolases family 18 (GH18) active site
IPR011583,4,2,2,Chitinase II
IPR029070,3,2,3,Chitinase insertion domain superfamily
IPR007234,1,1,1,"Vps53, N-terminal"
IPR038260,1,1,1,"Vps53, C-terminal domain superfamily"
IPR039766,1,1,1,Vacuolar protein sorting-associated protein 53
IPR006140,9,10,10,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain"
IPR029752,7,6,6,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1"
IPR005000,3,3,2,HpcH/HpaI aldolase/citrate lyase domain
IPR011206,1,1,0,Citrate lyase beta subunit-like
IPR015813,8,15,9,Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily
IPR040442,8,15,8,Pyruvate kinase-like domain superfamily
IPR011234,5,14,7,"Fumarylacetoacetase-like, C-terminal"
IPR036663,5,14,8,"Fumarylacetoacetase-like, C-terminal domain superfamily"
IPR044728,1,1,1,"ATP-dependent RNA helicase eIF4A, DEAD-box helicase domain"
IPR041667,5,3,5,Cupin-like domain 8
IPR039123,2,2,2,Protein phosphatase 2C
IPR046342,11,10,11,CBS domain superfamily
IPR040200,1,1,1,FAS1 domain-containing protein Mug57-like
IPR012674,1,1,0,Calycin
IPR032816,1,1,1,SNARE associated Golgi protein
IPR007807,1,0,1,Helicase domain
IPR013562,1,0,1,"tRNA(Met) cytidine acetyltransferase TmcA, N-terminal"
IPR027992,1,0,1,Possible tRNA binding domain
IPR032672,1,0,1,TmcA/NAT10/Kre33
IPR033688,1,0,1,RNA cytidine acetyltransferase NAT10
IPR030518,3,0,1,Glucose N-acetyltransferase 1
IPR024382,1,1,1,Domain of unknown function DUF3844
IPR007716,1,1,1,"NPL4, zinc-binding putative"
IPR007717,1,1,1,"Nuclear pore localisation protein NPL4, C-terminal"
IPR013748,3,2,3,"Replication factor C, C-terminal"
IPR016563,1,1,1,Nuclear protein localization protein 4
IPR037518,7,11,7,MPN domain
IPR018624,1,1,1,Translocation protein Sec66
IPR022124,1,1,1,Protein of unknown function DUF3659
IPR000048,6,6,3,"IQ motif, EF-hand binding site"
IPR044159,1,1,1,IQ domain-containing protein IQM
IPR000949,1,0,1,ELM2 domain
IPR017884,5,4,4,SANT domain
IPR029617,1,1,1,Lid2 complex component Snt2
IPR002318,1,1,1,"Alanine-tRNA ligase, class IIc"
IPR003156,1,1,1,DHHA1 domain
IPR012947,2,3,2,"Threonyl/alanyl tRNA synthetase, SAD"
IPR018162,1,1,1,"Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily"
IPR018163,2,3,3,"Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily"
IPR018164,1,1,1,"Alanyl-tRNA synthetase, class IIc, N-terminal"
IPR018165,1,1,1,"Alanyl-tRNA synthetase, class IIc, core domain"
IPR023033,1,1,1,"Alanine-tRNA ligase, eukaryota/bacteria"
IPR000789,1,1,1,"Cyclin-dependent kinase, regulatory subunit"
IPR036858,1,1,1,"Cyclin-dependent kinase, regulatory subunit superfamily"
IPR007266,1,0,1,Endoplasmic reticulum oxidoreductin 1
IPR037192,1,0,1,ERO1-like superfamily
IPR000209,8,10,3,Peptidase S8/S53 domain
IPR002884,1,0,1,P domain
IPR015500,8,10,3,"Peptidase S8, subtilisin-related"
IPR022398,5,8,3,"Peptidase S8, subtilisin, His-active site"
IPR023827,4,1,2,"Peptidase S8, subtilisin,  Asp-active site"
IPR034182,1,0,1,Kexin/furin catalytic domain
IPR036852,9,12,8,Peptidase S8/S53 domain superfamily
IPR018946,6,6,5,"PhoD-like phosphatase,  metallophosphatase domain"
IPR038607,6,6,5,PhoD-like superfamily
IPR043904,3,3,3,PhoD-like phosphatase
IPR012936,2,2,2,"Endoplasmic reticulum vesicle transporter, C-terminal"
IPR045888,2,2,2,Endoplasmic reticulum vesicle transporter
IPR001902,3,4,3,SLC26A/SulP transporter
IPR002645,2,6,3,STAS domain
IPR011547,3,4,3,SLC26A/SulP transporter domain
IPR018045,1,1,1,"Sulphate anion transporter, conserved site"
IPR036513,3,6,3,STAS domain superfamily
IPR005645,2,8,2,Serine hydrolase FSH
IPR003954,6,5,5,"RNA recognition motif domain, eukaryote"
IPR006529,1,1,0,"U2 snRNP auxilliary factor, large subunit, splicing factor"
IPR003265,6,5,6,HhH-GPD domain
IPR011257,7,5,7,DNA glycosylase
IPR012904,1,1,1,"8-oxoguanine DNA glycosylase, N-terminal"
IPR023170,4,3,4,"Helix-hairpin-helix, base-excision DNA repair, C-terminal"
IPR007822,1,0,1,Lanthionine synthetase C-like
IPR000217,4,5,3,Tubulin
IPR002452,2,2,1,Alpha tubulin
IPR008280,4,4,3,"Tubulin/FtsZ, C-terminal"
IPR023123,4,4,3,"Tubulin, C-terminal"
IPR025337,2,3,2,Questin oxidase-like
IPR004523,2,3,2,"Aspartate-tRNA synthetase, type 2"
IPR024320,1,3,1,"Phosphatidylglycerol lysyltransferase, C-terminal"
IPR000727,11,7,12,Target SNARE coiled-coil homology domain
IPR001663,4,4,1,"Aromatic-ring-hydroxylating dioxygenase, alpha subunit"
IPR015879,3,3,0,"Aromatic-ring-hydroxylating dioxygenase, alpha subunit, C-terminal domain"
IPR034392,1,1,1,"TatSF1-like, RNA recognition motif 1"
IPR034393,1,1,1,TatSF1-like
IPR000909,3,4,3,"Phosphatidylinositol-specific phospholipase C, X domain"
IPR001313,7,4,6,Pumilio RNA-binding repeat
IPR012959,1,0,1,CPL domain
IPR033133,5,4,5,Pumilio homology domain
IPR040059,1,0,1,Pumilio homologue 3
IPR010995,1,2,2,"DNA repair Rad51/transcription factor NusA, alpha-helical"
IPR011941,1,1,1,DNA recombination/repair protein Rad51
IPR016467,1,1,2,"DNA recombination and repair protein, RecA-like"
IPR021717,1,1,1,Nucleoporin Nup120/160
IPR013948,1,0,1,"DNA replication regulator Sld3, C-terminal"
IPR042511,1,0,1,DNA replication regulator Sld3
IPR000731,3,2,3,Sterol-sensing domain
IPR030225,1,0,1,Sterol regulatory element-binding protein cleavage-activating protein
IPR006575,5,4,7,RWD domain
IPR040213,1,1,1,GIR2-like
IPR012358,1,1,0,"Endopolyphosphatase, Ppn1p-related"
IPR002171,2,3,2,Ribosomal protein L2
IPR005880,1,1,1,"Ribosomal protein L2, bacterial/organellar-type"
IPR008991,11,14,12,Translation protein SH3-like domain superfamily
IPR014722,11,13,11,"Ribosomal protein L2, domain 2"
IPR014726,2,3,2,"Ribosomal protein L2, domain 3"
IPR022666,2,3,2,"Ribosomal Proteins L2, RNA binding domain"
IPR022669,2,3,2,"Ribosomal protein L2, C-terminal"
IPR022671,2,2,1,"Ribosomal protein L2, conserved site"
IPR026829,1,1,1,Protein Mon2-like
IPR032817,1,1,1,"Mon2, C-terminal"
IPR000490,3,3,3,Glycoside hydrolase family 17
IPR001356,5,6,7,Homeobox domain
IPR017970,3,2,2,"Homeobox, conserved site"
IPR006073,9,22,11,GTP binding domain
IPR014813,1,1,1,"Guanine nucleotide-binding protein-like 3, N-terminal domain"
IPR023179,3,3,4,"GTP-binding protein, orthogonal bundle domain superfamily"
IPR005931,1,3,2,Delta-1-pyrroline-5-carboxylate dehydrogenase
IPR001310,2,1,2,Histidine triad (HIT) protein
IPR011146,3,3,4,HIT-like domain
IPR019808,2,1,2,"Histidine triad, conserved site"
IPR002008,2,0,2,"DNA polymerase family X, beta-like"
IPR002054,2,1,2,DNA-directed DNA polymerase X
IPR010996,1,1,1,"DNA polymerase beta-like, N-terminal domain"
IPR018944,2,1,2,"DNA polymerase lambda, fingers domain"
IPR022312,2,1,2,DNA polymerase family X
IPR027421,2,2,2,DNA polymerase lambda lyase domain superfamily
IPR028207,2,1,2,"DNA polymerase beta, palm domain"
IPR029398,2,1,2,"DNA polymerase beta, thumb domain"
IPR037160,2,1,2,"DNA polymerase, thumb domain superfamily"
IPR004367,3,2,3,"Cyclin, C-terminal domain"
IPR039361,3,2,3,Cyclin
IPR034343,1,2,1,Uncharacterized GST-like protein YibF
IPR025313,3,4,4,Domain of unknown function DUF4217
IPR012541,1,1,1,"DBP10, C-terminal"
IPR033517,1,1,1,DDX54/DBP10 family
IPR040260,1,2,2,Replication factor A protein-like
IPR016095,3,3,3,"Ribosomal protein L1, 3-layer alpha/beta-sandwich"
IPR023673,1,1,1,"Ribosomal protein L1, conserved site"
IPR023674,3,3,3,Ribosomal protein L1-like
IPR028364,3,3,3,Ribosomal protein L1/ribosomal biogenesis protein
IPR045022,1,1,1,3-ketodihydrosphingosine reductase KDSR-like
IPR045540,1,0,0,"YegS/DAGK, C-terminal domain"
IPR011710,1,1,1,"Coatomer beta subunit, C-terminal"
IPR016460,1,1,1,Coatomer beta subunit (COPB1)
IPR029446,1,1,1,"Coatomer beta subunit, appendage platform domain"
IPR004023,1,1,1,Mago nashi protein
IPR036605,1,1,1,Mago nashi superfamily
IPR018618,2,1,2,Vacuolar import/degradation protein Vid24
IPR003358,1,1,1,"tRNA (guanine-N-7) methyltransferase, Trmb type"
IPR025763,1,1,1,"tRNA (guanine-N-7) methyltransferase catalytic subunit Trm8, eukaryote"
IPR010301,1,1,1,Ribosomal RNA processing protein 1-like
IPR000953,9,3,6,Chromo/chromo shadow domain
IPR007728,1,1,0,Pre-SET domain
IPR006607,1,0,0,Protein of unknown function DM15
IPR006630,3,2,3,La-type HTH domain
IPR045180,3,2,3,La domain containing protein
IPR007216,1,1,1,CCR4-NOT transcription complex subunit 9
IPR001772,1,0,1,Kinase associated domain 1 (KA1)
IPR028375,2,1,2,"KA1 domain/Ssp2, C-terminal"
IPR011666,1,1,1,"G patch domain-containing protein, N-terminal"
IPR004908,1,0,1,"ATPase, V1 complex, subunit H"
IPR011987,1,0,1,"ATPase, V1 complex, subunit H, C-terminal"
IPR038497,1,0,1,"ATPase, V1 complex, subunit H, C-terminal domain superfamily"
IPR001900,3,2,3,Ribonuclease II/R
IPR002716,3,2,2,PIN domain
IPR003029,5,7,5,S1 domain
IPR022966,1,1,1,"Ribonuclease II/R, conserved site"
IPR033770,1,1,1,"Exosome complex exonuclease RRP44, S1 domain"
IPR033771,1,1,1,Rrp44-like cold shock domain
IPR041505,2,1,2,Dis3-like cold-shock domain 2
IPR024316,1,0,1,"Nuclear pore assembly and biogenesis protein, APQ12"
IPR000690,1,3,2,"Matrin/U1-C, C2H2-type zinc finger"
IPR003604,7,9,3,"Matrin/U1-C-like, C2H2-type zinc finger"
IPR031781,1,1,1,SF3A2 domain
IPR016170,1,3,3,"Cytokinin dehydrogenase, C-terminal domain superfamily"
IPR000308,3,3,3,14-3-3 protein
IPR036815,3,3,3,14-3-3 domain superfamily
IPR016197,8,6,9,Chromo-like domain superfamily
IPR023779,2,0,3,"Chromo domain, conserved site"
IPR023780,4,4,4,Chromo domain
IPR025260,1,1,1,"Chromodomain-helicase-DNA-binding protein 1-like, C-terminal domain"
IPR041150,1,0,0,Chromodomain helicase DNA-binding domain
IPR013283,1,2,1,RLI1
IPR034348,1,2,1,"RLI, domain 1"
IPR001202,10,12,10,WW domain
IPR002713,2,1,1,FF domain
IPR036020,11,12,7,WW domain superfamily
IPR036517,2,1,2,FF domain superfamily
IPR039726,2,1,2,Pre-mRNA-processing factor Prp40
IPR024662,1,1,1,Trafficking protein particle complex II-specific subunit 65
IPR001576,1,1,1,Phosphoglycerate kinase
IPR015824,1,1,1,"Phosphoglycerate kinase, N-terminal"
IPR015911,1,1,1,"Phosphoglycerate kinase, conserved site"
IPR036043,1,1,1,Phosphoglycerate kinase superfamily
IPR007834,1,1,1,DSS1/SEM1
IPR019412,1,1,1,Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39
IPR007051,1,0,0,CHORD domain
IPR007052,4,2,3,CS domain
IPR008978,6,6,8,HSP20-like chaperone
IPR045872,1,0,1,ADP-ribosylation factor 1-5
IPR000312,1,2,1,"Glycosyl transferase, family 3"
IPR005940,1,1,1,Anthranilate phosphoribosyl transferase
IPR017459,1,1,0,"Glycosyl transferase family 3, N-terminal domain"
IPR035902,1,2,1,Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily
IPR036320,1,1,0,"Glycosyl transferase family 3, N-terminal domain superfamily"
IPR005612,2,2,3,CCAAT-binding factor
IPR040155,1,1,1,CEBPZ/Mak21-like
IPR022764,4,4,4,"Peptidase S54, rhomboid domain"
IPR038966,1,1,0,Translation machinery-associated protein 17
IPR017240,1,1,1,Mitogen-activated protein (MAP) kinase kinase kinase Ssk2/Ssk22
