,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
PF04111,1,1,1,Apg6 BARA domain
PF17675,1,1,1,Apg6 coiled-coil region
PF10384,2,1,1,Centromere protein Scm3
PF00565,2,2,2,Staphylococcal nuclease homologue
PF02787,2,2,2,"Carbamoyl-phosphate synthetase large chain, oligomerisation domain"
PF07478,3,8,6,D-ala D-ala ligase C-terminus
PF01074,1,1,1,Glycosyl hydrolases family 38 N-terminal domain
PF07748,1,1,1,Glycosyl hydrolases family 38 C-terminal domain
PF09261,1,1,1,Alpha mannosidase middle domain
PF00262,1,1,1,Calreticulin family
PF10295,1,1,1,Uncharacterised protein (DUF2406)
PF09446,1,1,1,VMA21-like domain
PF01096,2,2,2,Transcription factor S-II (TFIIS)
PF07500,2,2,2,"Transcription factor S-II (TFIIS), central domain"
PF08711,2,2,3,TFIIS helical bundle-like domain
PF09340,1,1,1,Histone acetyltransferase subunit NuA4
PF08571,1,1,0,Yos1-like
PF04433,3,2,3,SWIRM domain
PF04912,1,1,0,Dynamitin
PF04147,1,1,1,Nop14-like family
PF14420,3,22,2,Clr5 domain
PF08590,1,2,2,Domain of unknown function (DUF1771)
PF08643,1,1,1,Fungal family of unknown function (DUF1776)
PF08325,2,2,2,WLM domain
PF00704,4,3,5,Glycosyl hydrolases family 18
PF04100,1,1,1,"Vps53-like, N-terminal"
PF10475,1,0,0,"Vacuolar-sorting protein 54, of GARP complex"
PF01557,5,13,5,Fumarylacetoacetate (FAA) hydrolase family
PF13621,5,3,5,Cupin-like domain
PF13460,20,50,27,NAD(P)H-binding
PF09335,1,1,1,SNARE associated Golgi protein
PF05127,1,0,1,Helicase
PF08351,1,0,1,"tRNA(Met) cytidine acetyltransferase TmcA, N-terminal"
PF13718,1,0,0,GNAT acetyltransferase 2
PF13725,1,0,1,Possible tRNA binding domain
PF12955,1,1,1,Domain of unknown function (DUF3844)
PF05020,1,1,1,"NPL4 family, putative zinc binding region"
PF05021,1,1,1,NPL4 family
PF08542,3,2,3,Replication factor C C-terminal domain
PF09802,1,1,1,Preprotein translocase subunit Sec66
PF12396,1,1,1,Protein of unknown function (DUF3659)
PF20354,1,0,1,Family of unknown function (DUF6649)
PF01411,1,1,1,tRNA synthetases class II (A)
PF02272,1,1,1,DHHA1 domain
PF07973,2,3,2,Threonyl and Alanyl tRNA synthetase second additional domain
PF01111,1,1,1,Cyclin-dependent kinase regulatory subunit
PF04137,1,0,1,Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF00082,8,10,3,Subtilase family
PF01483,1,0,1,Proprotein convertase P-domain
PF09423,3,3,1,PhoD-like phosphatase
PF06609,8,22,5,Fungal trichothecene efflux pump (TRI12)
PF07970,1,2,2,Endoplasmic reticulum vesicle transporter
PF00916,3,4,3,Sulfate permease family
PF01740,2,4,3,STAS domain
PF03959,3,9,1,Serine hydrolase (FSH1)
PF00730,6,5,5,HhH-GPD superfamily base excision DNA repair protein
PF07934,1,1,1,"8-oxoguanine DNA glycosylase, N-terminal domain"
PF05147,1,0,1,Lanthionine synthetase C-like protein
PF12768,1,1,1,Cortical protein marker for cell polarity
PF14027,2,3,1,Questin oxidase-like
PF09924,1,3,1,"Phosphatidylglycerol lysyltransferase, C-terminal"
PF00388,3,4,3,"Phosphatidylinositol-specific phospholipase C, X domain"
PF08144,1,0,1,CPL (NUC119) domain
PF00154,1,2,2,recA bacterial DNA recombination protein
PF13481,1,3,2,AAA domain
PF14520,1,2,1,Helix-hairpin-helix domain
PF11715,1,1,1,Nucleoporin Nup120/160
PF08639,1,0,1,DNA replication regulator SLD3
PF12349,3,1,3,Sterol-sensing domain of SREBP cleavage-activation
PF05773,5,3,6,RWD domain
PF00181,2,3,2,"Ribosomal Proteins L2, RNA binding domain"
PF03947,2,3,2,"Ribosomal Proteins L2, C-terminal domain"
PF00046,5,4,5,Homeodomain
PF00332,2,2,2,Glycosyl hydrolases family 17
PF08701,1,1,1,GNL3L/Grn1 putative GTPase
PF01230,4,4,4,HIT domain
PF10391,2,1,2,Fingers domain of DNA polymerase lambda
PF14716,1,1,1,Helix-hairpin-helix domain
PF14791,2,1,2,DNA polymerase beta thumb
PF02984,3,2,3,"Cyclin, C-terminal domain"
PF13959,3,4,4,Domain of unknown function (DUF4217)
PF08147,1,1,1,DBP10CT (NUC160) domain
PF00687,3,3,3,Ribosomal protein L1p/L10e family
PF19279,1,0,0,YegS C-terminal NAD kinase beta sandwich-like domain
PF07718,1,1,1,Coatomer beta C-terminal region
PF14806,1,1,1,Coatomer beta subunit appendage platform
PF02792,1,1,1,Mago nashi protein
PF09783,2,1,2,Vacuolar import and degradation protein
PF02390,1,1,1,Putative methyltransferase
PF05997,1,1,1,"Nucleolar protein,Nop52"
PF00856,13,11,13,SET domain
PF05033,1,1,0,Pre-SET motif
PF05383,3,2,3,La domain
PF04078,1,1,1,"Cell differentiation family, Rcd1-like"
PF02149,1,0,1,Kinase associated domain 1
PF07713,1,1,1,Protein of unknown function (DUF1604)
PF13912,2,1,1,C2H2-type zinc finger
PF03224,1,0,1,V-ATPase subunit H
PF11698,1,0,1,V-ATPase subunit H
PF00773,3,2,3,RNB domain
PF13638,2,1,1,PIN domain
PF17215,1,1,1,S1 domain
PF17216,1,1,1,Rrp44-like cold shock domain
PF17849,2,1,2,Dis3-like cold-shock domain 2 (CSD2)
PF12716,1,0,1,Nuclear pore assembly and biogenesis
PF12874,8,11,9,Zinc-finger of C2H2 type
PF16835,1,1,1,Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11)
PF00385,4,3,4,Chromo (CHRromatin Organisation MOdifier) domain
PF11496,2,2,3,Class II histone deacetylase complex subunits 2 and 3
PF13907,1,1,1,Domain of unknown function (DUF4208)
PF18196,1,0,0,Chromodomain helicase DNA-binding domain 1
PF00397,8,12,5,WW domain
PF01846,2,1,1,FF domain
PF12735,1,1,1,TRAPP trafficking subunit Trs65
PF00162,1,1,1,Phosphoglycerate kinase
PF05160,1,1,1,DSS1/SEM1 family
PF10300,1,1,1,Iml2/Tetratricopeptide repeat protein 39
PF03328,2,3,1,HpcH/HpaI aldolase/citrate lyase family
PF04968,1,0,0,CHORD
PF04969,4,2,3,CS domain
PF04670,8,6,9,Gtr1/RagA G protein conserved region
PF00591,1,2,1,"Glycosyl transferase family, a/b domain"
PF02885,1,1,0,"Glycosyl transferase family, helical bundle domain"
PF03914,2,2,3,CBF/Mak21 family
PF01694,4,5,3,Rhomboid family
PF09774,1,1,1,Intermembrane space protein MIX23
PF04675,4,3,3,DNA ligase N terminus
PF04679,3,2,3,ATP dependent DNA ligase C terminal region
PF12569,1,1,1,"N-terminal acetyltransferase A, auxiliary subunit"
PF01149,1,1,1,Formamidopyrimidine-DNA glycosylase N-terminal domain
PF06831,1,1,1,Formamidopyrimidine-DNA glycosylase H2TH domain
PF20510,1,4,4,"Homogentisate 1,2-dioxygenase N-terminal"
PF09298,1,2,1,Fumarylacetoacetase N-terminal
PF06441,6,9,4,Epoxide hydrolase N terminus
PF00520,2,2,3,Ion transport protein
PF08595,1,1,1,"RXT2-like, N-terminal"
PF01214,2,2,1,Casein kinase II regulatory subunit
PF01472,3,1,3,PUA domain
PF17832,2,1,2,Pre-PUA-like domain
PF10187,1,1,1,"FAM192A/Fyv6, N-terminal domain"
PF06071,1,0,1,Protein of unknown function (DUF933)
PF05903,2,0,1,PPPDE putative peptidase domain
PF04280,1,1,1,Tim44-like domain
PF16546,1,1,1,Homodimerisation domain of SGTA
PF01398,5,7,6,JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF01170,1,0,1,Putative RNA methylase family UPF0020
PF00587,6,6,4,"tRNA synthetase class II core domain (G, H, P, S and T)"
PF03129,5,5,6,Anticodon binding domain
PF07919,1,0,1,"Gryzun, putative trafficking through Golgi"
PF03029,2,3,3,Conserved hypothetical ATP binding protein
PF08547,2,2,2,Complex I intermediate-associated protein 30 (CIA30)
PF00654,4,4,4,Voltage gated chloride channel
PF03547,2,2,2,Membrane transport protein
PF00670,1,0,1,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"
PF02826,9,9,10,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
PF12848,2,2,2,ABC transporter
PF09785,1,0,1,Prp31 C terminal domain
PF02184,1,0,1,HAT (Half-A-TPR) repeat
PF03770,2,2,2,Inositol polyphosphate kinase
PF08302,1,1,1,Fungal tRNA ligase phosphodiesterase domain
PF08303,1,1,1,tRNA ligase kinase domain
PF09511,1,1,1,RNA ligase
PF06220,1,2,1,U1 zinc finger
PF01793,4,3,3,Glycolipid 2-alpha-mannosyltransferase
PF07569,1,1,1,TUP1-like enhancer of split
PF09453,1,1,0,HIRA B motif
PF01571,2,2,2,Aminomethyltransferase folate-binding domain
PF08669,2,2,1,Glycine cleavage T-protein C-terminal barrel domain
PF03223,1,1,1,V-ATPase subunit C
PF11720,1,2,1,Peptidase inhibitor I78 family
PF07064,1,1,1,RIC1
PF03571,1,1,1,Peptidase family M49
PF01633,2,2,2,Choline/ethanolamine kinase
PF04000,2,2,3,Sas10/Utp3/C1D family
PF09368,1,0,1,Sas10 C-terminal domain
PF10270,1,1,1,Membrane magnesium transporter
PF00736,1,0,1,EF-1 guanine nucleotide exchange domain
PF10587,1,0,1,Eukaryotic elongation factor 1 beta central acidic region
PF10431,2,3,3,"C-terminal, D2-small domain, of ClpB protein"
PF17871,2,1,2,AAA lid domain
PF02996,2,2,1,Prefoldin subunit
PF07716,6,4,4,Basic region leucine zipper
PF05176,1,0,1,ATP10 protein
PF12352,3,0,2,Snare region anchored in the vesicle membrane C-terminus
PF00831,1,1,1,Ribosomal L29 protein
PF03834,1,0,1,Binding domain of DNA repair protein Ercc1 (rad10/Swi10)
PF08633,1,1,1,Rox3 mediator complex subunit
PF08145,1,1,1,BOP1NT (NUC169) domain
PF01116,3,5,3,Fructose-bisphosphate aldolase class-II
PF02733,4,4,4,Dak1 domain
PF07632,3,2,0,Protein of unknown function (DUF1593)
PF11701,1,1,1,Myosin-binding striated muscle assembly central
PF13516,5,3,4,Leucine Rich repeat
PF03643,1,1,1,Vacuolar protein sorting-associated protein 26
PF13671,1,4,2,AAA domain
PF00198,3,5,2,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00364,8,11,9,Biotin-requiring enzyme
PF02817,3,5,3,e3 binding domain
PF05871,1,0,1,ESCRT-II complex subunit
PF16770,1,0,1,Regulator of Ty1 transposition protein 107 BRCT domain
PF01180,2,0,2,Dihydroorotate dehydrogenase
PF16543,1,1,1,"DRG Family Regulatory Proteins, Tma46"
PF01112,1,1,2,Asparaginase
PF11635,1,1,1,Mediator complex subunit 16
PF03666,1,1,0,Nitrogen Permease regulator of amino acid transport activity 3
PF01930,1,1,0,Domain of unknown function DUF83
PF08696,1,1,0,DNA replication factor Dna2
PF13245,5,15,7,AAA domain
PF13604,2,5,3,AAA domain
PF01583,2,2,1,Adenylylsulphate kinase
PF12325,1,0,1,TATA element modulatory factor 1 TATA binding
PF12329,1,0,1,TATA element modulatory factor 1 DNA binding
PF00389,7,8,6,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF18089,1,0,1,DAPG hydrolase PhiG domain
PF05875,1,3,1,Ceramidase
PF00091,3,5,3,"Tubulin/FtsZ family, GTPase domain"
PF03953,2,4,3,Tubulin C-terminal domain
PF04191,3,3,2,Phospholipid methyltransferase
PF01490,6,12,11,Transmembrane amino acid transporter protein
PF00637,4,2,4,Region in Clathrin and VPS
PF12451,1,1,1,Vacuolar protein sorting protein 11 C terminal
PF17122,1,1,1,Zinc-finger
PF13865,1,1,1,C-terminal duplication domain of Friend of PRMT1
PF16842,2,1,1,Occluded RNA-recognition motif
PF17877,1,0,1,DIS3-like exonuclease 2 C terminal
PF07817,1,1,1,GLE1-like protein
PF00285,3,3,3,"Citrate synthase, C-terminal domain"
PF02629,2,4,3,CoA binding domain
PF16114,1,1,1,ATP citrate lyase citrate-binding
PF07823,1,1,1,Cyclic phosphodiesterase-like protein
PF07200,1,1,0,Modifier of rudimentary (Mod(r)) protein
PF13668,3,3,2,Ferritin-like domain
PF02906,1,0,1,"Iron only hydrogenase large subunit, C-terminal domain"
PF01138,5,3,5,"3' exoribonuclease family, domain 1"
PF15406,1,1,1,Pleckstrin homology domain
PF16455,1,1,1,Ubiquitin-binding domain
PF02141,2,3,2,DENN (AEX-3) domain
PF03456,2,3,0,uDENN domain
PF03467,1,1,1,Smg-4/UPF3 family
PF00092,5,7,3,von Willebrand factor type A domain
PF13519,6,7,2,von Willebrand factor type A domain
PF03540,1,1,1,Transcription initiation factor TFIID 23-30kDa subunit
PF00203,2,3,2,Ribosomal protein S19
PF04152,1,1,1,Mre11 DNA-binding presumed domain
PF08656,1,0,0,DASH complex subunit Dad3
PF00333,2,1,2,"Ribosomal protein S5, N-terminal domain"
PF03719,2,1,2,"Ribosomal protein S5, C-terminal domain"
PF01156,3,3,3,Inosine-uridine preferring nucleoside hydrolase
PF02077,1,1,1,SURF4 family
PF11815,3,0,3,Domain of unknown function (DUF3336)
PF05730,5,4,4,CFEM domain
PF13191,7,4,4,AAA ATPase domain
PF01063,4,3,4,Amino-transferase class IV
PF00394,6,11,13,Multicopper oxidase
PF07731,9,11,12,Multicopper oxidase
PF07732,7,12,12,Multicopper oxidase
PF16200,1,1,1,C-terminal region of band_7
PF11711,1,1,1,Inner membrane protein import complex subunit Tim54
PF00276,2,2,1,Ribosomal protein L23
PF07976,3,5,7,"Phenol hydroxylase, C-terminal dimerisation domain"
PF08584,1,1,1,Ribonuclease P 40kDa (Rpp40) subunit
PF00467,2,3,2,KOW motif
PF16906,1,1,1,"Ribosomal proteins L26 eukaryotic, L24P archaeal"
PF03894,2,2,1,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
PF09363,2,1,1,XFP C-terminal domain
PF09364,2,2,1,XFP N-terminal domain
PF03850,1,1,1,Transcription factor Tfb4
PF03357,7,7,7,Snf7
PF03009,3,3,3,Glycerophosphoryl diester phosphodiesterase family
PF01522,6,5,8,Polysaccharide deacetylase
PF05907,1,1,0,"CXXC motif containing zinc binding protein, eukaryotic"
PF04921,1,0,1,"XAP5, circadian clock regulator"
PF12854,2,1,2,PPR repeat
PF13041,3,3,5,PPR repeat family
PF13812,4,3,4,Pentatricopeptide repeat domain
PF17177,2,3,2,Pentacotripeptide-repeat region of PRORP
PF03417,1,1,1,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF11831,1,1,1,pre-mRNA splicing factor component
PF11816,1,1,1,Domain of unknown function (DUF3337)
PF16197,2,5,0,Ketoacyl-synthetase C-terminal extension
PF08493,2,0,0,Aflatoxin regulatory protein
PF05368,15,40,23,NmrA-like family
PF04055,7,8,6,Radical SAM superfamily
PF13353,1,1,0,4Fe-4S single cluster domain
PF13394,1,1,0,4Fe-4S single cluster domain
PF17784,7,4,5,Sulfotransferase domain
PF16862,3,4,4,Glycosyl hydrolase family 79 C-terminal beta domain
PF04828,11,12,14,Glutathione-dependent formaldehyde-activating enzyme
PF07876,4,3,3,Stress responsive A/B Barrel Domain
PF02752,4,4,3,"Arrestin (or S-antigen), C-terminal domain"
PF03367,1,1,1,ZPR1 zinc-finger domain
PF05011,1,2,1,"Lariat debranching enzyme, C-terminal domain"
PF14732,1,0,1,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain
PF05460,1,1,0,Origin recognition complex subunit 6 (ORC6)
PF14821,1,0,1,Threonine synthase N terminus
PF00130,2,2,2,Phorbol esters/diacylglycerol binding domain (C1 domain)
PF01124,4,6,3,MAPEG family
PF12359,1,2,0,Protein of unknown function (DUF3645)
PF20255,1,2,0,Family of unknown function (DUF6606)
PF07287,3,3,2,Acyclic terpene utilisation family protein AtuA
PF07217,1,3,2,Heterokaryon incompatibility protein Het-C
PF01171,2,2,0,PP-loop family
PF05739,5,2,6,SNARE domain
PF02176,1,0,1,TRAF-type zinc finger
PF00132,5,6,4,Bacterial transferase hexapeptide (six repeats)
PF12464,3,2,3,Maltose acetyltransferase
PF14602,2,4,3,Hexapeptide repeat of succinyl-transferase
PF05729,13,52,4,NACHT domain
PF17667,1,0,0,Fungal protein kinase
PF05057,2,3,2,Putative serine esterase (DUF676)
PF00857,8,11,9,Isochorismatase family
PF01432,2,2,2,Peptidase family M3
PF06766,1,0,1,Fungal hydrophobin
PF09769,1,1,1,Apolipoprotein O
PF04495,2,1,1,GRASP55/65 PDZ-like domain
PF02475,1,1,1,Met-10+ like-protein
PF09445,1,1,1,RNA cap guanine-N2 methyltransferase
PF14833,6,10,7,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
PF20399,2,2,2,PH domain
PF20400,2,2,2,BAR-like domain
PF00574,1,1,1,Clp protease
PF16912,2,4,3,Glucose dehydrogenase C-terminus
PF12859,1,1,1,Anaphase-promoting complex subunit 1 WD40 beta-propeller domain
PF12157,1,1,1,Protein of unknown function (DUF3591)
PF02627,2,4,4,Carboxymuconolactone decarboxylase family
PF02330,1,1,1,Mitochondrial glycoprotein
PF11176,1,1,1,Translation machinery-associated protein 16
PF04114,1,1,1,"Gaa1-like, GPI transamidase component"
PF18261,1,1,1,Rpn9 C-terminal helix
PF00538,1,1,1,linker histone H1 and H5 family
PF01504,3,2,3,Phosphatidylinositol-4-phosphate 5-Kinase
PF14615,1,0,0,Ribosome-assembly protein 3
PF02338,3,3,2,OTU-like cysteine protease
PF01532,5,7,6,Glycosyl hydrolase family 47
PF04603,1,1,1,Ran-interacting Mog1 protein
PF00330,5,5,6,Aconitase family (aconitate hydratase)
PF00694,4,6,6,Aconitase C-terminal domain
PF10263,2,2,1,SprT-like family
PF04516,1,1,1,CP2 transcription factor
PF02463,6,7,6,RecF/RecN/SMC N terminal domain
PF06470,4,3,4,SMC proteins Flexible Hinge Domain
PF01798,2,2,3,"snoRNA binding domain, fibrillarin"
PF08156,2,2,2,NOP5NT (NUC127) domain
PF02749,1,1,1,"Quinolinate phosphoribosyl transferase, N-terminal domain"
PF10685,2,1,2,Stress-induced bacterial acidophilic repeat motif
PF03167,2,3,2,Uracil DNA glycosylase superfamily
PF08700,2,2,3,Vps51/Vps67
PF13279,2,5,1,Thioesterase-like superfamily
PF10307,1,1,1,HAD domain family 1 in Swiss Army Knife RNA repair proteins
PF00150,6,6,14,Cellulase (glycosyl hydrolase family 5)
PF18564,1,1,1,Glycoside hydrolase family 5 C-terminal domain
PF09431,1,1,1,"SPIN90/Ldb17, leucine-rich domain"
PF02824,3,2,1,TGS domain
PF08596,1,1,1,"Lethal giant larvae(Lgl) like, C-terminal"
PF04729,1,0,1,ASF1 like histone chaperone
PF07106,1,0,1,TBPIP/Hop2 winged helix domain
PF04909,2,12,8,Amidohydrolase
PF18833,1,1,1,Tetratricopeptide repeat
PF00650,5,5,5,CRAL/TRIO domain
PF03765,2,3,4,"CRAL/TRIO, N-terminal domain"
PF13716,2,0,1,Divergent CRAL/TRIO domain
PF08653,1,0,0,DASH complex subunit Dam1
PF10348,2,2,2,Domain of unknown function (DUF2427)
PF10355,2,2,2,Protein of unknown function (Ytp1)
PF12597,1,1,1,Cytochrome c oxidase assembly protein COX20
PF08490,1,1,1,Domain of unknown function (DUF1744)
PF10108,1,1,0,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB
PF01088,4,4,4,"Ubiquitin carboxyl-terminal hydrolase, family 1"
PF08755,1,1,1,Hemimethylated DNA-binding protein YccV like
PF13369,1,1,1,Transglutaminase-like superfamily
PF08662,2,3,2,Eukaryotic translation initiation factor eIF2A
PF08030,10,11,8,Ferric reductase NAD binding domain
PF13878,1,1,1,zinc-finger of acetyl-transferase ESCO
PF13880,1,1,1,ESCO1/2 acetyl-transferase
PF13175,3,1,0,AAA ATPase domain
PF13476,4,5,6,AAA domain
PF04437,1,1,0,RINT-1 / TIP-1 family
PF00282,4,4,5,Pyridoxal-dependent decarboxylase conserved domain
PF11704,1,1,0,Vesicle coat protein involved in Golgi to plasma membrane transport
PF08672,1,0,1,Anaphase promoting complex (APC) subunit 2
PF02364,1,1,1,"1,3-beta-glucan synthase component"
PF14288,1,1,1,"1,3-beta-glucan synthase subunit FKS1, domain-1"
PF03198,4,5,4,Glucanosyltransferase
PF07983,1,1,1,X8 domain
PF12465,1,1,1,Proteasome beta subunits C terminal
PF00790,3,3,4,VHS domain
PF03127,2,2,3,GAT domain
PF04034,1,1,1,"Ribosome biogenesis protein, C-terminal"
PF04068,1,3,2,"Possible Fer4-like domain in RNase L inhibitor, RLI"
PF12044,1,1,1,Putative peptidase family
PF03813,1,1,1,Nrap protein domain 1
PF17403,1,1,1,Nrap protein PAP/OAS-like domain
PF17404,1,1,1,Nrap protein domain 3
PF17405,1,1,1,Nrap protein nucleotidyltransferase domain 4
PF17406,1,1,1,Nrap protein PAP/OAS1-like domain 5
PF17407,1,1,1,Nrap protein domain 6
PF01068,3,2,3,ATP dependent DNA ligase domain
PF00120,2,1,3,"Glutamine synthetase, catalytic domain"
PF00571,6,6,8,CBS domain
PF10361,1,0,0,Protein of unknown function (DUF2434)
PF17778,1,1,1,Beta-lactamase associated winged helix domain
PF10237,1,1,1,Probable N6-adenine methyltransferase
PF11969,4,4,4,Scavenger mRNA decapping enzyme C-term binding
PF05046,1,1,1,Mitochondrial large subunit ribosomal protein (Img2)
PF09440,1,1,1,eIF3 subunit 6 N terminal domain
PF03105,2,2,2,SPX domain
PF00445,2,2,3,Ribonuclease T2 family
PF04438,1,2,1,HIT zinc finger
PF02230,5,3,2,Phospholipase/Carboxylesterase
PF04115,1,1,0,Ureidoglycolate lyase
PF10392,1,1,1,Golgi transport complex subunit 5
PF01871,1,1,1,AMMECR1
PF09337,1,1,1,H2C2 zinc finger
PF17921,1,1,1,Integrase zinc binding domain
PF01135,2,2,2,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF13934,1,0,0,Nuclear pore complex assembly
PF00570,1,2,1,HRDC domain
PF01612,4,4,3,3'-5' exonuclease
PF08066,1,1,1,PMC2NT (NUC016) domain
PF04892,1,0,0,VanZ like family
PF01283,1,1,1,Ribosomal protein S26e
PF13513,6,7,4,HEAT-like repeat
PF18808,1,1,1,Importin repeat
PF18816,1,1,1,Importin repeat
PF18829,1,1,1,Importin repeat 6
PF04136,1,1,1,Sec34-like family
PF08636,1,1,1,ER protein Pkr1
PF04119,2,1,2,Heat shock protein 9/12
PF12351,1,1,3,Ca2+ regulator and membrane fusion protein Fig1
PF13233,2,4,3,Complex1_LYR-like
PF13415,6,4,5,"Galactose oxidase, central domain"
PF13418,6,6,6,"Galactose oxidase, central domain"
PF13422,1,1,1,Domain of unknown function (DUF4110)
PF01470,1,0,2,Pyroglutamyl peptidase
PF09336,3,2,3,Vps4 C terminal oligomerisation domain
PF09801,1,0,1,Integral membrane protein S linking to the trans Golgi network
PF13176,13,14,8,Tetratricopeptide repeat
PF00612,3,2,3,IQ calmodulin-binding motif
PF12678,5,5,5,RING-H2 zinc finger domain
PF00850,5,5,3,Histone deacetylase domain
PF04760,1,2,1,"Translation initiation factor IF-2, N-terminal region"
PF05216,1,1,1,UNC-50 family
PF11987,2,3,2,Translation-initiation factor 2
PF05843,1,0,1,Suppressor of forked protein (Suf)
PF02170,1,1,1,PAZ domain
PF02171,3,1,3,Piwi domain
PF08699,3,1,3,Argonaute linker 1 domain
PF16486,3,1,3,N-terminal domain of argonaute
PF16488,2,1,1,Argonaute linker 2 domain
PF10252,1,1,1,Casein kinase substrate phosphoprotein PP28
PF01369,4,3,4,Sec7 domain
PF15410,1,1,1,Pleckstrin homology domain
PF16575,2,1,2,mRNA cleavage and polyadenylation factor CLP1 P-loop
PF10277,2,3,2,Frag1/DRAM/Sfk1 family
PF00498,9,11,8,FHA domain
PF08208,1,1,1,DNA-directed RNA polymerase I subunit RPA34.5
PF08640,1,1,1,U3 small nucleolar RNA-associated protein 6
PF00657,1,4,7,GDSL-like Lipase/Acylhydrolase
PF00656,1,3,2,Caspase domain
PF07989,3,1,3,Centrosomin N-terminal motif 1
PF12808,1,1,1,Micro-tubular organiser Mto1 C-term Mto2-binding region
PF01216,1,1,0,Calsequestrin
PF13848,1,1,1,Thioredoxin-like domain
PF00338,2,2,3,Ribosomal protein S10p/S20e
PF00808,7,8,9,Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF16211,2,2,2,C-terminus of histone H2A
PF03416,1,1,1,Peptidase family C54
PF01424,4,3,4,R3H domain
PF14269,3,2,7,Arylsulfotransferase (ASST)
PF01263,3,3,3,Aldose 1-epimerase
PF00320,5,5,5,GATA zinc finger
PF00318,1,1,1,Ribosomal protein S2
PF11700,1,3,2,Vacuole effluxer Atg22 like
PF08638,1,1,1,Mediator complex subunit MED14
PF19036,1,1,1,"First Longin domain of FUZ, MON1 and HPS1"
PF19037,1,1,1,"Second Longin domain of FUZ, MON1 and HPS1"
PF04118,1,1,1,"Dopey, N-terminal"
PF01035,2,1,1,"6-O-methylguanine DNA methyltransferase, DNA binding domain"
PF01808,1,1,1,AICARFT/IMPCHase bienzyme
PF02142,2,2,2,MGS-like domain
PF10280,1,1,1,Mediator complex protein
PF04494,1,1,1,"WD40 associated region in TFIID subunit, NTD2 domain"
PF08969,1,1,1,USP8 dimerisation domain
PF01613,3,4,2,Flavin reductase like domain
PF00854,1,3,2,POT family
PF18885,1,0,0,Repeat of unknown function (DUF5648)
PF01676,1,1,1,Metalloenzyme superfamily
PF06415,1,1,1,BPG-independent PGAM N-terminus (iPGM_N)
PF10176,1,1,1,Protein of unknown function (DUF2370)
PF20180,1,1,1,Complex III assembly factor UQCC2/CBP6
PF08620,1,0,1,"RPAP1-like, C-terminal"
PF08621,1,0,1,"RPAP1-like, N-terminal"
PF07986,1,1,1,Tubulin binding cofactor C
PF13446,1,1,1,A repeated domain in UCH-protein
PF05024,1,1,1,N-acetylglucosaminyl transferase component (Gpi1)
PF10495,1,0,1,Pericentrin-AKAP-450 domain of centrosomal targeting protein
PF01746,1,1,1,tRNA (Guanine-1)-methyltransferase
PF07156,2,1,0,Prenylcysteine lyase
PF10198,1,1,1,Histone acetyltransferases subunit 3
PF07646,2,3,1,Kelch motif
PF13964,2,2,2,Kelch motif
PF01758,1,2,1,Sodium Bile acid symporter family
PF03403,2,2,4,"Platelet-activating factor acetylhydrolase, isoform II"
PF00930,2,0,1,Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF02265,3,4,1,S1/P1 Nuclease
PF01425,8,17,15,Amidase
PF05529,1,1,1,Bap31/Bap29 transmembrane region
PF18035,1,1,1,Bap31/Bap29 cytoplasmic coiled-coil domain
PF04479,6,12,7,RTA1 like protein
PF03153,1,1,1,"Transcription factor IIA, alpha/beta subunit"
PF02144,1,1,0,Repair protein Rad1/Rec1/Rad17
PF10607,4,1,4,CTLH/CRA C-terminal to LisH motif domain
PF05544,2,3,2,Proline racemase
PF04566,2,2,2,"RNA polymerase Rpb2, domain 4"
PF04567,2,1,1,"RNA polymerase Rpb2, domain 5"
PF00815,2,2,2,Histidinol dehydrogenase
PF01502,1,1,1,Phosphoribosyl-AMP cyclohydrolase
PF01503,1,1,1,Phosphoribosyl-ATP pyrophosphohydrolase
PF17875,1,1,1,RPA43 OB domain in RNA Pol I
PF17111,2,8,3,Fungal N-terminal domain of STAND proteins
PF04051,3,3,3,Transport protein particle (TRAPP) component
PF06963,1,1,0,Ferroportin1 (FPN1)
PF10383,2,0,2,Transcription-silencing protein Clr2
PF16761,2,0,2,"Transcription-silencing protein, cryptic loci regulator Clr2"
PF09184,1,1,1,PPP4R2
PF04261,1,1,0,Dyp-type peroxidase family
PF09118,2,2,2,"Galactose oxidase-like, Early set domain"
PF00199,4,8,5,Catalase
